Soft-13,H,H,H,H,H,H,H,H,H,H
Soft-14,H,H,H,H,H,H,H,H,H,H
Soft-15,H,H,H,H,H,H,H,H,H,H
Soft-16,H,H,H,H,H,H,H,H,H,H
Soft-17,H,H,H,H,H,H,H,H,H,H
Soft-18,S,S,S,S,S,S,S,H,H,H
Soft-19,S,S,S,S,S,S,S,S,S,S
Soft-20,S,S,S,S,S,S,S,S,S,S
Soft-21,S,S,S,S,S,S,S,S,S,S
5,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
9,H,H,H,H,H,H,H,H,H,H
10,H,H,H,H,H,H,H,H,H,H
11,H,H,H,H,H,H,H,H,H,H
12,H,H,S,S,S,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
14,S,S,S,S,S,H,H,H,H,H
15,S,S,S,S,S,H,H,H,H,H
16,S,S,S,S,S,H,H,H,H,H
17,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
21,S,S,S,S,S,S,S,S,S,S
